kbli,tahun,jumlah_perusahaan,pekerja_produksi_laki,pekerja_produksi_perempuan,pekerja_produksi_total,pekerja_lainnya_laki,pekerja_lainnya_perempuan,pekerja_lainnya_total,pekerja_dibayar_total
10/11,2013,40,3672,1582,5254,1637,605,2242,7496
12,2013,7,142,3616,3758,154,230,384,4142
13,2013,28,3231,4362,7593,499,312,811,8404
14,2013,39,1909,8518,10427,355,577,932,11359
15,2013,10,523,190,713,99,66,165,878
16,2013,34,552,531,1083,66,80,146,1229
17/18,2013,20,1000,290,1290,541,323,864,2154
19,2013,5,262,57,319,34,12,46,365
20,2013,4,94,41,135,35,4,39,174
21,2013,4,116,204,320,125,66,191,511
22,2013,8,1301,568,1869,184,315,499,2368
23,2013,39,1657,379,2036,496,163,659,2695
25,2013,8,347,23,370,39,6,45,415
27/28/29/30,2013,7,2530,303,2833,243,209,452,3285
31,2013,49,3468,691,4159,524,242,766,4925
32/33,2013,20,722,4805,5527,261,100,361,5888
